2,2017-04-11,12:53:28,26,1,0
6,2017-04-11,13:53:28,26.7,1,0
10,2017-04-11,14:53:28,26.7,1,1
14,2017-04-11,15:53:28,26.8,1,1
18,2017-04-11,16:53:28,26.9,1,1
22,2017-04-11,17:53:28,27,1,1
26,2017-04-11,18:53:28,27,1,1
30,2017-04-11,19:53:28,27,1,1
34,2017-04-11,20:53:28,27.1,1,1
38,2017-04-11,21:53:28,27,1,1
42,2017-04-11,22:53:28,27,1,1
46,2017-04-11,23:53:28,27,1,1
50,2017-04-11,0:53:28,27,1,1
54,2017-04-11,1:53:28,26.9,1,1
58,2017-04-11,2:53:28,26.8,1,1
62,2017-04-11,3:53:28,26.8,1,1
66,2017-04-11,4:53:28,26.6,1,1
70,2017-04-11,5:53:28,26.7,1,1
74,2017-04-11,6:53:28,26.7,1,1
78,2017-04-11,7:53:28,26.6,1,1
82,2017-04-11,8:53:28,nan,1,1
86,2017-04-11,9:53:28,26.7,1,1
90,2017-04-11,10:53:28,26.7,1,1
94,2017-04-11,11:53:28,26.7,1,1
98,2017-04-11,12:53:28,26.7,1,1
102,2017-04-11,13:53:28,26.6,1,1
106,2017-04-11,14:53:28,26.3,1,1
110,2017-04-11,15:53:28,nan,1,1
114,2017-04-11,16:53:28,26.7,1,1
118,2017-04-11,17:53:28,26.8,1,1
122,2017-04-11,18:53:28,26.8,1,1
126,2017-04-11,19:53:28,26.8,1,1
130,2017-04-11,20:53:28,26.8,1,1
134,2017-04-11,21:53:28,26.9,1,1
138,2017-04-11,22:53:28,26.9,1,1
142,2017-04-11,23:53:28,26.9,1,1
146,2017-04-11,0:53:28,26.9,1,1
150,2017-04-11,1:53:28,26.9,1,1
154,2017-04-11,2:53:28,26.8,1,1
158,2017-04-11,3:53:28,26.8,1,1
162,2017-04-11,4:53:28,26.8,1,1
166,2017-04-11,5:53:28,26.8,1,1
170,2017-04-11,6:53:28,nan,1,1
174,2017-04-11,7:53:28,26.8,1,1
178,2017-04-11,8:53:28,26.8,1,1
182,2017-04-11,9:53:28,26.8,1,1
186,2017-04-11,10:53:28,26.8,1,1
190,2017-04-11,11:53:28,26.8,1,1
194,2017-04-11,12:53:28,26.8,1,1
198,2017-04-11,13:53:28,26.8,1,1
202,2017-04-11,14:53:28,26.8,1,1
206,2017-04-11,15:53:28,26.8,1,1
210,2017-04-11,16:53:28,26.7,0,1
214,2017-04-11,17:53:28,25.6,0,1
218,2017-04-11,18:53:28,25.5,1,1
222,2017-04-11,19:53:28,26,1,1
226,2017-04-11,20:53:28,26.1,1,1
230,2017-04-11,21:53:28,26.1,1,1
234,2017-04-12,22:53:28,nan,1,1
238,2017-04-12,23:53:28,nan,1,1
242,2017-04-12,0:53:28,nan,0,1
246,2017-04-12,1:53:28,25.8,0,1
250,2017-04-12,2:53:28,25.8,0,1
254,2017-04-12,3:53:28,25.6,0,1
258,2017-04-12,4:53:28,25.6,0,1
262,2017-04-12,5:53:28,25.6,0,1
266,2017-04-12,6:53:28,25.5,0,1
270,2017-04-12,7:53:28,25.5,0,1
274,2017-04-12,8:53:28,25.5,0,1
278,2017-04-12,9:53:28,25.5,0,1
282,2017-04-12,10:53:28,25.5,1,1
286,2017-04-12,11:53:28,nan,0,1
290,2017-04-12,12:53:28,24.8,0,1
294,2017-04-12,13:53:28,25.5,1,1
298,2017-04-12,14:53:28,nan,0,1
302,2017-04-12,15:53:28,25.8,0,1
306,2017-04-12,16:53:28,25.9,0,1
310,2017-04-12,17:53:28,25.9,1,1
314,2017-04-12,18:53:28,26.1,1,1
318,2017-04-12,19:53:28,26.2,1,1
322,2017-04-12,20:53:28,26.2,1,1
326,2017-04-12,21:53:28,26.3,1,1
330,2017-04-12,22:53:28,nan,1,1
334,2017-04-12,23:53:28,26.3,1,1
338,2017-04-12,0:53:28,26.2,1,1
342,2017-04-12,1:53:28,26.3,1,1
346,2017-04-12,2:53:28,26.3,1,1
350,2017-04-12,3:53:28,26.3,1,1
354,2017-04-12,4:53:28,26.4,1,1
358,2017-04-12,5:53:28,26.2,1,1
362,2017-04-12,6:53:28,26.4,1,1
366,2017-04-12,7:53:28,nan,1,1
370,2017-04-12,8:53:28,26.4,1,1
374,2017-04-12,9:53:28,26.5,1,1
378,2017-04-12,10:53:28,26.5,1,1
382,2017-04-12,11:53:28,26.5,1,1
