2346,4,on,off
27.7,932,97.1,54612,1
27.7,932,97.8,54612,1
0,933,0,54612,1
27.5,929,99.9,54612,1
27.4,926,98.3,54612,1
27.5,924,99.9,54612,1
27.5,922,99.9,54612,1
27.5,926,99.9,54612,1
0,928,0,54612,1
27.5,924,99.9,54612,1
27.5,928,99.9,54612,1
0,918,0,5,1
27.4,898,99.9,9,1
0,914,0,5,1
27.3,917,99.9,5,1
27.3,916,99.9,5,1
27.3,919,99.9,5,1
27.2,924,99.9,5,1
27.2,922,99.9,5,1
25.8,919,99.9,5,0
25.8,892,99.9,13,0
25.8,907,99.9,15,0
25.8,919,99.9,22,0
25.8,918,99.9,30,0
26.7,927,99.9,50,1
26.8,936,99.9,48,1
26.7,933,99.9,47,1
26.8,933,99.9,46,1
26.8,930,99.9,45,1
26.8,936,99.9,45,1
26.8,936,99.9,45,1
26.9,934,99.9,44,1
26.9,930,99.9,43,1
26.9,933,99.9,42,1
27,937,99.9,40,1
27,936,99.9,40,1
27.3,940,99.9,35,1
27.4,908,99.9,36,1
28,931,96.7,29,1
28,934,98.4,27,1
0,938,0,26,1
28,938,98.3,25,1
28.1,940,98.2,21,1
28.1,936,99.9,20,1
28.1,928,99.9,20,1
28.1,928,99.2,21,1
28.1,937,99.2,21,1
27.8,918,99.9,9,1
27.7,917,99.9,9,1
27.7,910,99.9,9,1
27.7,918,99.5,9,1
27.6,921,99.9,9,1
27.6,921,99.9,9,1
27.6,919,99.9,9,1
27.6,927,98.3,9,1
27.4,921,98.4,9,1
27.4,922,98.3,9,1
27.4,924,0,9,1
0,917,99.9,9,1
27.4,914,99.9,9,1
27.5,921,99.9,9,1
27.4,913,99.9,9,1
27.4,914,0,7,1
0,916,96.9,5,1
27.4,918,99.9,9,1
27.4,921,99.9,5,1
27.4,922,99.9,5,1
27.4,922,99.9,4,1
27.4,921,99.7,3,1
27.3,915,99.9,3,1
27.3,916,99.9,4,1
26.2,916,99.9,5,1
26,916,99.5,20,1
26,916,98.7,22,1
26,915,99.7,34,1
26,914,99.9,50,1
26,916,99.9,57,1
26,916,99.3,66,1
26,924,99.9,86,1
26.2,921,99.9,106,1
26.3,918,99.9,106,1
26.3,920,99.9,104,1
26.4,919,99.9,101,1
26.4,920,99.1,99,1
26.4,919,95.1,98,1
26.5,921,99.1,95,1
26.5,921,98.8,95,1
26.5,921,98.3,89,1
26.6,924,99.6,85,1
26.6,921,99.2,82,1
26.6,905,99.5,80,1
26.7,924,96.8,78,1
26.7,926,97.3,78,1
26.7,922,97.4,53,1
26.8,925,94.6,67,1
26.8,922,96.6,71,1
26.8,924,96.1,66,1
26.8,924,95.9,45,1
26.8,924,94.9,45,1
26.8,917,96.5,46,1
26.8,927,96.4,70,1
26.8,917,98.6,70,1
26.9,927,96.8,49,1
26.9,925,97.9,44,1
26.9,924,95.3,65,1
26.9,927,96.5,68,1
27,925,99.9,65,1
27.1,921,92.8,64,1
28.5,926,93,40,1
28.6,925,94.4,39,1
28.6,926,92.9,40,1
28.5,924,92.8,38,1
28.6,929,93.4,37,1
28.7,925,91.3,36,1
28.7,930,91.5,35,1
28.8,930,95.7,34,1
28.7,927,96,30,1
28.7,924,96.8,30,1
28.7,924,98.2,29,1
28.7,917,98.6,28,1
28.7,922,99.6,26,1
28.7,913,99.3,24,1
28.7,918,98.8,26,1
28.6,918,99.6,30,1
28.6,916,99.6,31,1
28.6,916,99.3,32,1
28.6,916,99.2,31,1
28.6,924,94.9,33,1
28.6,916,97.3,35,1
28.5,925,99.1,9,1
28.1,931,98.1,9,1
28,932,93.8,9,1
28,932,96.7,9,1
28,930,95.7,9,1
27.9,937,94.8,9,1
27.9,934,94.6,9,1
27.9,933,90.7,9,1
27.9,937,95,9,1
27.8,937,94.4,9,1
27.8,940,95.2,9,1
27.8,945,90.9,9,1
27.7,946,90.2,9,1
27.7,949,93.3,9,1
27.7,944,93.2,9,1
27.7,949,91.1,9,1
27.7,951,91.2,9,1
27.7,946,89.6,9,1
27.6,950,93.6,9,1
27.6,946,95.1,9,1
27.6,945,94.2,9,1
27.7,943,94.8,9,1
27.7,952,90.6,9,1
27.6,944,92.7,9,1
27.6,939,0,9,1
0,963,99.9,50,1
26.6,965,99.9,57,1
26.6,965,99.9,74,1
26.6,969,99.9,82,1
26.6,967,99.9,91,1
26.7,965,99.9,91,1
26.8,961,99.9,90,1
26.8,965,99.9,90,1
26.8,964,99.9,91,1
26.8,965,99.9,90,1
26.8,952,99.7,88,1
26.9,955,99.2,85,1
26.9,957,99.6,85,1
27,972,99.4,84,1
27,974,98.9,81,1
27,972,98.7,79,1
27.1,980,97.9,75,1
27.1,980,99.4,72,1
27.1,986,99.1,71,1
27.2,985,98.7,69,1
27.2,985,97.2,69,1
27.2,969,97.4,65,1
27.2,988,97.8,64,1
27.4,986,98.6,55,1
27.5,987,99.3,56,1
27.5,989,98.8,55,1
27.5,988,98.7,55,1
27.5,996,99.9,57,1
27.9,976,99.9,44,1
28,989,99.9,45,1
28,986,99.9,41,1
28,993,99.9,33,1
28,990,99.9,43,1
28.1,989,99.9,40,1
28,997,99.9,38,1
28.1,999,94.5,39,1
28.1,1000,96.4,30,1
28.1,1001,0,37,1
0,999,97.7,35,1
28.1,999,98.6,27,1
28.1,1001,96.9,26,1
28.1,1003,97.2,26,1
28.1,991,98.4,25,1
28.1,1002,98.2,22,1
28.1,1004,99.9,25,1
27.9,1000,99.9,9,1
27.9,1000,99.9,9,1
27.9,1002,99.9,9,1
27.8,1005,97,9,1
27.8,997,97.1,9,1
27.7,1006,99.2,9,1
27.7,1009,0,9,1
0,1009,99.9,9,1
27.7,1008,0,9,1
0,1011,99.4,9,1
27.7,1010,99.7,9,1
27.7,1012,98.9,9,1
27.6,1011,99.6,9,1
27.6,1013,97.2,9,1
27.6,1014,99.4,9,1
27.6,1009,99.6,9,1
27.5,1014,99.9,9,1
27.6,1014,98.6,9,1
27.5,1016,97.6,9,1
27.5,1014,99.1,9,1
27.5,1016,98.9,9,1
27.5,1016,99,9,1
27.5,1016,0,9,1
0,1013,99.9,9,1
27.5,1009,99.9,9,1
26,1024,99.9,37,1
26,1024,99.9,42,1
26,1024,0,57,1
0,1024,99.9,72,1
26,1024,99.9,91,1
26,1024,99.9,105,1
0,1024,0,108,1
26.2,1024,96.7,106,1
26.3,1024,99.9,101,1
26.3,1024,99.8,98,1
26.3,1024,99.1,95,1
26.3,1024,98.4,92,1
26.4,1024,99.9,87,1
26.4,1024,99.7,84,1
26.5,1024,99.1,80,1
26.5,1024,99.4,75,1
26.5,1024,99.7,73,1
26.6,1024,99.4,70,1
26.6,1024,98.8,67,1
26.6,1024,98.3,64,1
26.6,1024,94.5,60,1
26.7,1024,97.4,57,1
27.8,1024,97.8,26,1
27.8,1024,98,35,1
27.8,1024,96.8,35,1
27.7,1024,97.2,27,1
27.7,1024,93.2,31,1
27.9,1024,99.9,21,1
28,1023,99.9,23,1
28,1024,99.9,18,1
0,1024,0,17,1
0,1024,0,20,1
28,1024,99.9,24,1
28,1024,99.9,19,1
28,1024,99.9,15,1
28,1024,99.9,15,1
27.9,1024,99.4,17,1
27.9,1024,99.9,16,1
0,1024,0,21,1
27.9,1024,99.9,24,1
28,1024,99.9,5,1
28.1,1024,99.9,4,1
27.8,1024,97.5,9,1
27.7,1024,95.6,9,1
27.4,1023,96.2,9,1
27.4,1024,97.2,9,1
27.4,1024,97.1,9,1
27.5,1024,97,9,1
27.4,1024,95.6,9,1
27.4,1024,96.7,9,1
27.4,1024,94.5,9,1
27.3,1024,96.3,9,1
27.4,1024,98.2,9,1
27.4,1024,98.6,9,1
27.5,1024,98.4,9,1
27.5,1024,97.4,9,1
27.4,1024,97,9,1
27.4,1024,96.2,9,1
27.4,1024,97.4,9,1
27.4,1024,97.3,9,1
27.4,1024,98.3,9,1
27.4,1024,96.8,9,1
0,1024,0,9,1
27.3,1024,96.9,9,1
27.3,1024,95.4,9,1
27.3,1024,97.1,8,1
27.3,1024,99.6,4,1
27.3,1024,99.9,3,1
27.3,1024,99.9,3,1
27.2,1024,99.9,4,1
27.2,1024,99.9,4,1
27.1,1024,99.9,4,1
26.9,1024,99.9,4,1
26.9,1024,99.9,3,1
26.8,1024,99.9,4,1
26.8,1024,99.9,4,1
26.7,1024,99.9,4,1
26.7,1024,99.9,4,1
26.7,1024,99.9,4,1
26.6,1024,99.9,4,1
0,1024,0,4,1
26.6,1024,99.9,4,1
0,1024,0,4,1
26.5,1024,99.9,4,1
26.3,1024,99.9,5,1
26.2,1024,99.9,5,1
26.2,1024,99.9,20,1
26.1,1024,99.7,30,1
26.3,1024,99.9,50,1
26.3,1024,99.9,71,1
26.3,1024,99.9,84,1
26.3,1024,99.9,92,1
26.3,1024,99.9,96,1
26.3,1024,99.9,97,1
26.3,1024,99.9,99,1
26.3,1024,99.9,100,1
26.4,1024,99.5,98,1
26.4,1024,98.5,100,1
26.4,1024,99.9,99,1
26.4,1024,99.9,99,1
26.5,1024,99.9,96,1
26.5,1024,99.9,97,1
26.5,1024,99.9,94,1
26.6,1024,99.9,95,1
26.6,1024,99.9,90,1
26.7,1024,99.9,85,1
26.7,1024,99.9,81,1
26.8,1024,99.9,79,1
27.7,1024,99.9,32,1
27.8,962,95.5,33,1
28.1,966,93.8,25,1
28.2,968,92.7,33,1
28.3,972,93.4,32,1
28.3,973,92.4,32,1
28.4,974,92.2,28,1
28.4,975,91.8,28,1
28.5,974,91.6,32,1
28.5,982,92.2,30,1
28.7,982,91.6,27,1
28.8,977,91.3,32,1
0,980,0,25,1
0,980,0,30,1
28.7,979,90.4,30,1
28.7,981,91.2,30,1
28.7,981,90.5,31,1
28.7,986,91,34,1
28.7,975,94.4,20,1
28.4,972,95.6,7,1
0,980,0,8,1
28.2,979,99.9,8,1
28.1,985,99.9,8,1
28.1,980,99.2,8,1
28,982,99.9,8,1
0,980,0,8,1
27.9,989,97.5,8,1
27.9,992,97.8,8,1
27.9,992,99.9,8,1
27.9,991,98.2,8,1
27.9,989,99.1,8,1
27.9,990,99.9,8,1
0,996,0,8,1
27.8,980,99.9,7,1
27.4,988,99.9,2,1
27.4,987,99.9,2,1
26.6,996,99.9,4,1
26.6,994,99.9,8,1
25.9,1006,99,40,0
25.5,1015,99.3,70,0
25.5,1020,98.9,104,0
25.6,1018,99.9,120,0
0,1017,99.9,132,1
25.6,1017,0,135,0
25.7,1017,99.9,137,0
0,1018,99.5,134,1
0,1017,0,129,1
26,1016,0,137,1
26,1015,99.9,134,1
26.1,1015,99.9,129,1
26.1,1015,99.1,130,1
28.5,1012,97.2,128,1
28.5,1011,89.3,64,1
28.6,1018,89.2,61,1
28.6,1021,89.3,58,1
28.6,1023,87.9,58,1
28.6,1024,87.9,59,1
28.6,1022,89.2,54,1
28.7,1024,87.1,55,1
28.7,1024,88.3,55,1
28.7,1024,87.7,56,1
28.7,1024,86.2,55,1
28.8,1024,87.6,50,1
28.8,1024,87.4,48,1
28.8,1024,88.4,53,1
28.8,1024,87,55,1
0,1020,91.8,55,1
28.9,1024,0,55,1
28.9,1024,85.5,50,1
28.9,1024,85.9,43,1
29.2,1024,86.7,39,1
28.9,1024,89.7,40,1
28.9,1024,90.9,36,1
28.9,1024,88.8,39,1
28.9,1024,86.7,39,1
28.2,1023,89.9,29,1
28,1018,99.9,7,1
27.9,1020,99.9,5,1
27.9,1020,99.9,7,1
0,1024,99.9,8,1
27.7,1024,0,8,1
0,1024,99.6,8,1
0,1024,0,7,1
27.6,1024,0,2,1
27.5,1024,98.3,2,1
27.4,1024,98,2,1
27.4,1024,98.4,2,1
27.4,1024,98.2,2,1
27.4,1024,98,2,1
27.3,1024,98.1,2,1
27.3,1024,97.2,2,1
27.3,1024,98.6,2,1
27.3,1024,97.2,2,1
27.3,1024,97.5,2,1
27.2,1024,97.7,2,1
27.2,1024,97.3,2,1
27.2,1024,98.4,2,1
0,1024,98.3,2,1
27.1,1024,0,2,1
0,1024,98.2,2,1
27.1,1024,0,2,1
0,1024,98.8,2,1
27.1,1024,0,2,1
27,1024,98.9,2,1
0,1024,97.8,2,1
27,1024,0,2,1
27,1024,97.6,2,1
26.9,1024,98.1,2,1
26.9,1024,97.8,2,1
26.8,1024,98.4,2,1
26.7,1024,97.7,2,1
26.6,1024,97.3,2,1
26.2,1024,97.9,2,1
26,1024,97.2,1,1
25.4,1024,98.6,18,0
25.4,1024,98.1,53,0
25.5,1024,99.9,59,0
25.5,1024,99.9,44,0
25.5,1024,99.9,43,0
25.5,1024,99.9,73,0
25.6,1024,99.9,83,0
25.6,1024,99.9,47,0
25.5,1024,98.2,110,0
25.6,1024,99.9,122,0
25.7,1024,99.9,127,0
25.8,1024,99.9,131,0
25.9,1024,99.8,130,0
26,1024,99.8,130,1
26,1024,99.9,134,1
26.1,1024,97.2,135,1
26.1,1024,98.4,135,1
26.1,1024,94,132,1
26.2,1024,92.3,114,1
0,1024,96.5,108,1
26.4,1024,0,95,1
26.4,1024,98.3,84,1
26.5,1024,98.2,75,1
26.5,1024,98.9,75,1
26.6,1024,98.2,75,1
26.6,1024,98.4,63,1
26.7,1024,97.8,71,1
26.7,1024,97.9,70,1
26.8,1024,98.4,70,1
26.7,1024,96.8,73,1
26.8,1024,96.4,78,1
26.8,1024,96.8,78,1
26.9,1024,93.7,77,1
27,1024,91.7,74,1
27,1024,93.9,76,1
27.1,1024,93.3,78,1
0,1024,93.2,60,1
27.2,1024,0,64,1
27.3,1024,90.6,48,1
0,1024,92.6,72,1
27.4,1024,0,53,1
0,1024,91.4,45,1
0,1024,0,46,1
27.3,1024,0,46,1
27.3,1024,91.8,42,1
27.3,1024,91.7,46,1
27.3,1024,92.8,44,1
27.3,1024,91.8,46,1
0,1024,92.6,64,1
0,1018,0,65,1
27.5,1017,0,53,1
27.6,1021,91.4,66,1
0,1021,90.7,63,1
27.7,1021,0,53,1
27.7,1021,91,45,1
27.8,1021,87.7,60,1
27.8,1017,90.1,61,1
27.9,1017,90.8,66,1
27.9,1018,89.6,55,1
27.9,1018,89.7,61,1
28,1013,87.3,47,1
28,1017,89.1,50,1
28,1016,87.7,63,1
28,1016,87.1,55,1
28,1015,89.5,50,1
28,1015,84.2,45,1
28,1016,87.5,53,1
28,1014,87.4,58,1
28.1,1013,87,50,1
28.1,1014,86.9,54,1
28.1,1014,86.3,54,1
28.2,1013,87.6,47,1
0,1012,83.4,45,1
28.2,1012,0,40,1
28.2,1011,80.1,41,1
28.3,1012,79.9,45,1
28.3,1013,81.8,45,1
28.3,1009,81.4,41,1
28.3,1008,79.5,40,1
28.3,1013,82.5,42,1
28.3,1009,82.7,43,1
28.4,1006,81.6,49,1
28.4,1009,82.3,45,1
28.3,1008,83.4,45,1
28.5,1009,80,44,1
28.4,1006,83.3,41,1
28.4,1003,84.4,41,1
28.5,1005,86.2,36,1
28.5,1004,87.2,32,1
28.5,1003,86.7,31,1
28.5,1003,82.5,31,1
28.3,1006,80.7,27,1
28.4,999,80.2,14,1
28.3,1000,82.8,12,1
0,1000,82.3,11,1
27.9,1000,0,7,1
28,993,96.2,8,1
0,997,98.1,8,1
27.9,993,0,7,1
27.9,994,95.6,8,1
27.9,994,96.8,8,1
27.9,994,93.9,7,1
27.8,991,96.1,7,1
27.8,992,96.4,22,1
27.8,993,95.3,7,1
27.8,992,96.1,7,1
27.8,992,96,7,1
0,988,97.2,7,1
0,990,0,7,1
27.7,988,0,7,1
27.7,988,93,8,1
27.7,989,93.6,8,1
27.6,988,95.3,8,1
27.7,987,94.6,8,1
27.7,987,94.9,8,1
27.7,988,96.4,8,1
27.6,987,95.7,8,1
27.6,985,95.2,8,1
27.6,987,94.9,7,1
27.6,985,96.2,7,1
27.6,986,95.7,7,1
27.6,987,95.7,7,1
27.6,987,95.2,8,1
27.6,985,96.9,8,1
27.6,986,94.3,8,1
0,986,94.5,8,1
27.6,986,0,8,1
27.6,986,95.4,8,1
27.6,985,94.5,7,1
27.6,982,95.7,8,1
27.6,982,95.2,7,1
27.6,986,95.8,8,1
27.5,981,95.8,8,1
27.6,980,97.2,8,1
27.5,981,97.2,7,1
27.5,974,97.5,7,1
27.5,982,96.5,8,1
27.5,981,98.9,7,1
27.4,984,97.7,7,1
27.5,980,97.3,6,1
27.5,976,97,6,1
27.5,976,98,6,1
0,974,97,6,1
26.5,962,0,3,1
26.1,968,99.9,3,1
26.1,970,99.9,62,1
26.2,973,99.9,100,1
26.2,969,99.9,116,1
0,975,99.7,121,1
27.1,972,0,125,1
27.3,968,99.9,39,1
27.2,964,99.9,43,1
27.3,966,99.9,48,1
27.4,968,98.9,30,1
27.4,966,97.9,33,1
27.4,968,97.3,36,1
27.5,968,95.2,34,1
27.5,966,95.1,40,1
27.5,968,97.2,27,1
27.5,967,98,26,1
27.5,967,98.1,30,1
27.4,964,97,29,1
27.4,964,97.4,27,1
27.4,964,98.9,30,1
27.4,963,99.9,30,1
27.3,965,99.9,30,1
27.3,965,99.9,27,1
0,963,99.9,25,1
27.3,964,0,28,1
27.4,963,99.9,28,1
0,962,99.9,35,1
27.5,964,0,29,1
27.5,964,99.9,24,1
27.6,964,98.4,22,1
0,962,99.8,21,1
0,961,0,20,1
27.5,962,0,20,1
27.5,962,99.6,23,1
27.5,963,99.9,21,1
27.4,966,99.9,18,1
27.3,966,99.9,16,1
27.3,964,98.2,15,1
27.3,965,99.4,17,1
27.3,968,99.9,19,1
27.3,966,99.9,19,1
0,953,99.9,20,1
27.3,966,0,30,1
27.3,970,99.9,30,1
27.4,966,99.9,20,1
27.3,965,99.9,20,1
27.4,966,99.9,15,1
27.3,964,99.9,9,1
27.4,966,99.9,7,1
26.9,972,99.9,5,1
26.9,964,99.9,8,1
26.7,966,99.9,8,1
0,964,99.9,8,1
26.7,972,0,8,1
26.7,967,99.9,7,1
26.7,970,99.9,7,1
0,972,99.9,8,1
26.7,970,0,8,1
26.7,973,99.9,8,1
26.7,973,99.9,7,1
26.7,973,99.9,7,1
26.7,973,99.9,7,1
26.7,970,99.9,7,1
26.7,969,99.9,7,1
26.7,969,99.9,7,1
0,970,99.9,7,1
26.7,968,0,7,1
26.7,970,99.9,7,1
26.7,970,99.9,7,1
26.7,972,99.9,7,1
26.7,973,99.9,7,1
26.7,970,99.9,7,1
26.6,968,99.9,7,1
0,966,99.9,7,1
26.6,973,0,7,1
26.7,970,99.9,7,1
26.6,970,99.9,7,1
26.6,945,99.9,7,1
26.7,968,99.9,7,1
26.6,969,99.9,7,1
0,961,99.9,7,1
25.3,968,0,7,0
25.2,954,99.9,5,0
25,953,99.9,17,0
25.1,958,99.9,34,0
26.1,955,99.9,50,1
26.2,960,99.9,47,1
26.2,962,99.9,47,1
26.5,960,99.9,45,1
26.6,962,99.9,33,1
26.5,961,99.9,39,1
26.5,965,99.9,35,1
0,962,98.6,35,1
26.5,960,0,32,1
26.6,964,97.7,32,1
26.7,963,99.9,29,1
26.6,962,99.9,28,1
26.6,962,99.9,28,1
26.6,962,93.9,25,1
0,962,0,25,1
26.7,966,89.5,23,1
26.7,965,94.8,19,1
26.7,954,93.2,21,1
26.7,965,93.2,18,1
26.7,965,91.5,17,1
26.7,961,95.4,16,1
0,961,0,15,1
26.4,962,99.9,15,1
26.1,964,99.9,15,1
26.1,963,99.9,15,1
26.2,933,99.9,15,1
26.1,964,99.9,15,1
26.1,965,99.9,15,1
26.1,963,99.9,15,1
26.1,929,99.9,15,1
26.1,964,99.9,15,1
26.1,964,99.9,15,1
26.1,962,99.9,15,1
26.1,958,99.9,15,1
26.1,964,99.9,15,1
26.1,963,99.9,15,1
26.1,963,99.9,20,1
26.1,964,99.9,20,1
26,934,99.9,20,1
26,964,99.9,20,1
26,948,99.9,19,1
25.9,965,99.9,19,0
25.9,942,99.9,19,0
25.8,966,99.9,19,0
25.8,965,99.9,19,0
25.9,966,99.9,19,0
25.8,924,99.9,19,0
25.9,964,99.9,19,0
25.9,964,99.9,19,0
25.8,917,99.9,19,0
25.8,921,99.9,20,0
25.8,967,99.9,15,0
25.9,964,99.9,15,0
25.8,936,99.9,15,0
25.9,966,99.9,15,0
25.9,933,99.9,15,0
25.9,946,99.9,54612,0
24.9,962,99.9,54612,0
25.5,952,99.9,54612,0
25.5,953,99.9,54612,0
25.5,955,99.9,54612,0
25.5,961,99.9,54612,0
25.6,961,99.9,54612,0
25.6,957,99.9,54612,0
25.7,956,99.9,54612,0
25.7,934,99.9,54612,0
25.7,930,99.9,54612,0
25.8,934,99.9,54612,0
25.7,936,99.1,54612,0
25.8,932,99.9,54612,0
25.8,932,99.9,54612,0
25.8,927,99.9,54612,0
25.8,925,99.9,54612,0
25.8,927,99.9,54612,0
25.8,927,99.9,54612,0
25.9,942,99.9,54612,0
25.9,945,99.9,54612,0
26,952,99.9,54612,1
27.4,955,99.9,54612,1
27.5,962,99.9,54612,1
27.4,957,99.7,54612,1
0,964,0,54612,1
27.6,961,93.2,54612,1
27.5,960,95.5,54612,1
27.5,962,95.1,54612,1
27.4,960,95.8,54612,1
27.4,958,95.6,54612,1
27.4,961,96.1,54612,1
0,961,0,54612,1
27.4,961,95.4,54612,1
27.4,960,97.7,54612,1
27.4,958,98.7,54612,1
27.3,619,97.8,54612,1
27,912,99.9,54612,1
27,928,99.9,7,1
0,933,0,5,1
27,943,99.9,7,1
27,945,99.9,8,1
27,950,99.9,8,1
27,949,99.9,8,1
27,950,99.9,7,1
27,949,99.9,8,1
27,952,99.9,8,1
27,946,99.9,8,1
26.9,954,99.9,8,1
27,951,99.9,8,1
27,955,99.9,8,1
27,954,99.9,8,1
27,957,99.9,8,1
27,951,99.9,8,1
27,960,99.9,8,1
27,961,99.9,8,1
26.9,962,99.9,7,1
26.9,962,99.9,8,1
26.9,960,99.9,7,1
26.9,963,99.9,7,1
26.8,964,99.9,8,1
26.9,965,99.9,7,1
26.8,962,99.9,8,1
26.8,963,99.9,8,1
26.8,938,99.9,7,1
25.8,940,99.9,8,0
26.2,942,99.9,60,1
26.2,946,99.9,62,1
26.3,948,99.9,70,1
26.3,950,99.9,70,1
26.3,950,99.9,67,1
26.4,936,99.9,65,1
26.4,941,99.9,60,1
26.4,955,99.9,55,1
26.8,957,99.9,65,1
26.8,964,99.9,33,1
26.8,949,99.9,34,1
26.8,966,99.5,30,1
26.8,968,99.5,30,1
0,966,0,36,1
26.9,970,97.7,37,1
26.9,965,94,36,1
26.9,965,96.3,37,1
0,968,0,41,1
0,970,0,33,1
27,970,97.2,33,1
27,974,96.1,32,1
27,962,95.6,30,1
27.1,953,95,33,1
27.1,968,95.1,37,1
27.2,970,94.3,43,1
27.3,954,94.9,40,1
27.3,966,95.1,40,1
27.3,966,94.3,40,1
0,967,0,31,1
27.3,967,94.8,37,1
27.4,968,97.9,30,1
27.4,969,95.7,30,1
27.4,972,89.5,32,1
27.4,970,93.2,34,1
27.5,968,92.7,32,1
27.5,970,93.5,32,1
27.5,972,91.6,31,1
27.5,965,91.3,32,1
27.5,948,99.9,34,1
27.5,958,99.9,8,1
27.5,954,99.9,8,1
27.4,960,99.9,7,1
27.4,946,99.9,7,1
27.4,962,99.9,7,1
27.4,963,99.9,7,1
27.5,955,99.9,7,1
27.4,958,99.9,7,1
0,957,0,7,1
27.4,955,99.9,8,1
27.3,958,99.9,7,1
27.4,961,99.9,7,1
27.3,954,99.9,7,1
27.3,961,99.9,7,1
27.3,963,99.9,7,1
27.2,960,99.9,8,1
0,955,0,8,1
27.2,960,99.9,8,1
27.2,957,99.9,8,1
27.2,956,99.9,8,1
0,958,0,7,1
27.2,957,99.9,7,1
27.1,956,99.9,8,1
27.1,957,99.9,8,1
27.1,945,99.9,8,1
0,956,0,8,1
27.1,956,99.9,8,1
27.2,960,99.9,8,1
27.1,956,99.9,8,1
27.1,958,99.9,8,1
27.1,963,99.9,8,1
27.1,956,99.9,8,1
27.1,964,99.9,8,1
27.1,964,99.9,8,1
27.1,964,99.9,8,1
27.1,963,99.9,7,1
27.1,967,99.9,8,1
27.1,956,99.9,8,1
27.1,964,99.9,7,1
27.1,966,99.9,8,1
27.1,965,99.9,8,1
27.1,965,99.9,8,1
27.1,965,99.9,8,1
27.1,966,99.9,7,1
27.1,966,99.9,8,1
27.1,967,99.9,8,1
27.1,968,99.9,7,1
27.1,968,99.9,7,1
27.1,966,99.9,8,1
27.1,966,99.9,8,1
27.1,967,99.9,7,1
27.1,965,99.9,8,1
27.1,964,99.9,8,1
27,964,99.9,7,1
27,942,99.9,7,1
27,964,99.9,7,1
27,964,99.9,7,1
27,956,99.9,7,1
26.9,956,99.9,7,1
26.9,966,99.9,8,1
26,967,99.9,2,1
26,968,99.9,10,1
26,966,99.9,13,1
26,970,99.9,30,1
26,974,99.9,32,1
27,752,99.9,30,1
27.1,850,99.9,32,1
0,885,97.6,36,1
0,906,0,40,1
27.2,910,0,42,1
27.4,950,97.3,34,1
27.5,953,98.9,30,1
27.5,953,98.3,35,1
27.4,953,98.9,34,1
27.4,953,99.1,34,1
0,949,99.9,35,1
27.4,955,0,36,1
27.5,954,99.9,30,1
27.4,953,99.9,25,1
27.4,952,96.6,23,1
27.1,961,99.9,20,1
27.1,960,99.9,10,1
27.1,964,99.9,9,1
27.1,966,99.9,9,1
27.1,964,99.9,8,1
27.1,962,99.9,8,1
27.1,957,99.9,7,1
27.1,952,99.9,7,1
27.1,960,99.9,21,1
27.1,961,99.9,20,1
27.1,954,99.9,20,1
27.1,962,99.9,20,1
27.1,961,99.9,20,1
0,962,99.9,19,1
0,961,0,19,1
27,964,0,7,1
26.8,972,99.9,8,1
26.8,969,99.9,7,1
26.8,973,99.9,7,1
26.8,970,99.9,8,1
26.8,972,99.9,8,1
26.8,970,99.9,7,1
26.8,973,99.9,8,1
26.8,974,99.9,8,1
26.8,974,99.9,8,1
26.8,974,99.9,8,1
26.8,974,99.9,8,1
26.8,972,99.9,8,1
26.8,974,99.9,8,1
26.8,974,99.9,7,1
26.8,974,99.9,7,1
26.7,974,99.9,8,1
26.7,975,99.9,8,1
26.7,975,99.9,8,1
26.7,974,99.9,8,1
26.7,972,99.9,8,1
26.7,974,99.9,7,1
0,975,99.9,7,1
26.7,977,0,8,1
26.7,974,99.9,8,1
26.7,976,99.9,7,1
26.7,974,99.9,7,1
26.7,974,99.9,8,1
26.7,976,99.9,7,1
26.7,976,99.9,7,1
26.7,975,99.9,7,1
26.7,975,99.9,8,1
26.7,975,99.9,7,1
26.7,979,99.9,7,1
0,981,99.9,7,1
26.6,977,0,7,1
26.6,973,99.9,7,1
0,973,99.9,7,1
26.6,969,0,7,1
26.5,973,99.9,7,1
26.5,974,99.9,7,1
0,986,99.9,7,1
25.7,986,0,44,0
25.6,988,99.9,56,0
25.8,988,99.9,63,0
25.8,989,99.9,139,0
0,989,99.9,135,1
25.9,992,0,131,0
26,993,99.9,125,1
26,993,99.9,120,1
26,991,99.9,115,1
26.1,991,99.9,112,1
26.1,992,99.9,106,1
26.2,992,99.9,104,1
26.2,992,99.9,100,1
26.3,992,99.9,97,1
26.3,992,99.9,92,1
26.4,991,95.6,90,1
26.4,996,99.3,95,1
26.5,991,95.6,92,1
26.5,993,99.4,88,1
26.6,982,95.7,90,1
26.7,986,96.7,42,1
26.7,988,96.7,89,1
26.7,988,96.3,85,1
26.8,987,96.5,75,1
26.8,986,95.2,69,1
26.9,985,94.9,65,1
26.9,985,93.6,65,1
26.9,985,95.3,63,1
27,987,94.9,45,1
27,986,95.1,60,1
27,986,95.3,38,1
27,987,95.5,35,1
27,986,95.8,46,1
27,987,96.6,32,1
27,988,95,57,1
27,988,95.6,35,1
27.1,989,93,40,1
25.5,992,99.9,54612,0
25.5,991,99.9,54612,0
25.6,832,99.9,82,0
25.6,924,99.9,93,0
25.7,939,99.9,87,0
25.8,946,99.9,54612,0
25.8,956,99.9,54612,0
