2346,4,on,off
24.8,949,99.9,22,0
24.8,955,99.9,79,0
0,973,99.9,45,1
25.6,989,0,36,0
26,897,97.7,26,1
26.4,952,96.4,20,1
26.9,986,99.2,5,1
26.7,989,94.6,9,1
26.5,986,99.9,9,1
26.5,915,99.9,9,1
26.5,915,99.9,9,1
25.8,921,99.9,9,0
25.5,968,85.5,9,0
25.8,974,86.5,9,0
25.4,957,95.6,9,0
26,996,94.5,9,1
25.9,969,99.9,4,0
0,938,99.9,4,1
0,952,0,4,1
25.5,969,0,4,0
25.5,988,99.9,4,0
25.5,974,99.9,4,0
25.3,987,99.9,4,0
25.3,898,99.9,4,0
0,905,99.9,4,1
0,951,0,3,1
25,989,0,3,0
25,990,99.9,4,0
0,991,99.9,24,1
24.6,936,0,29,0
24.5,991,99.9,37,0
26.2,980,99.9,32,1
26.6,972,95.6,31,1
26.7,960,94.6,29,1
27,898,94.1,26,1
27.3,904,94.5,23,1
27.5,913,90.3,21,1
27.4,915,91.4,16,1
27.4,913,94.4,15,1
27.4,912,97,14,1
27.4,913,97.2,11,1
27.3,912,97.1,13,1
27,913,95.9,9,1
26.8,933,98.2,10,1
26.7,927,99.9,10,1
26.7,926,99.9,10,1
26.7,926,99.9,10,1
0,919,99.9,10,1
26.6,893,0,10,1
26.6,927,99.9,9,1
26.6,927,99.9,9,1
26.5,922,99.9,9,1
0,921,99.9,4,1
26.2,920,0,3,1
25.9,914,99.9,4,0
25.9,920,99.9,4,0
0,916,99.9,3,1
25.5,917,0,3,0
0,925,99.9,3,1
25,926,0,3,0
24.9,932,99.9,12,0
24.6,932,99.9,17,0
24.5,938,99.9,20,0
24.5,938,99.9,28,0
24.6,937,99.9,81,0
24.6,937,99.9,96,0
24.8,937,99.9,85,0
24.8,926,99.9,81,0
24.9,927,99.9,80,0
24.9,928,99.9,34,0
25.8,937,99.9,34,0
0,919,94.3,32,1
26,925,0,32,1
0,921,97.1,29,1
0,922,0,31,1
26,924,0,30,1
26.1,924,97.8,30,1
26.1,924,96.9,30,1
26.2,924,97.2,30,1
26.2,921,97,30,1
26.2,924,96.9,30,1
26.4,921,97,29,1
26.4,919,96.6,29,1
26.4,920,97.1,27,1
26.4,920,97.1,28,1
26.4,924,96.8,28,1
26.5,925,95.8,27,1
26.5,925,96,27,1
0,925,95.3,9,1
26.9,922,0,9,1
0,906,99.9,10,1
26.9,903,0,10,1
26.8,903,99.9,10,1
26.8,904,99.9,10,1
26.8,903,99.9,10,1
26.7,904,99.9,9,1
26.6,904,99.9,4,1
26.3,904,99.9,3,1
26.1,905,96.6,40,1
24.7,908,99.9,46,0
24.8,888,99.9,50,0
24.9,893,99.9,55,0
24.9,896,99.9,55,0
24.9,897,99.9,55,0
25,902,99.9,55,0
24.9,898,99.9,54,0
25,904,99.9,55,0
25,905,99.9,60,0
25,905,99.9,59,0
25,905,99.9,63,0
25,906,99.9,62,0
25,906,99.9,61,0
25.1,906,99.9,56,0
25.1,903,99.9,53,0
0,905,99.9,50,1
25.2,903,0,45,0
0,1024,99.9,40,1
0,1024,0,40,1
25.1,1024,0,38,0
25.1,1024,87.1,34,0
25.2,1024,86.2,35,0
25.3,1024,84.9,48,0
26.1,903,86.8,41,1
25.1,916,87.3,39,0
25,918,99.9,38,0
0,913,99.9,37,1
25.1,913,0,35,0
25.1,913,99.9,35,0
25.2,914,99.9,40,0
25.3,913,99.9,44,0
25.3,916,99.9,45,0
0,921,99.9,45,1
25.5,924,0,45,0
25.5,922,99.9,44,0
25.6,916,99.9,44,0
25.6,916,99.9,42,0
25.6,918,99.9,40,0
25.5,918,99.9,41,0
25.7,917,99.9,40,0
25.8,918,99.9,40,0
25.8,922,99.9,40,0
25.9,916,99.9,39,0
25.9,916,99.9,38,0
26,916,99.9,38,1
26,920,99.9,37,1
26.1,920,99.9,36,1
0,916,99.9,37,1
26.1,915,0,38,1
26.2,915,99.9,37,1
0,915,99.9,39,1
0,916,0,36,1
26.3,920,0,39,1
26.3,915,99.9,39,1
26.3,915,99.9,38,1
26.4,915,99.9,38,1
26.4,914,99.9,37,1
26.4,918,99.7,36,1
26.5,919,99.9,35,1
26.5,914,99.9,35,1
26.5,918,99.9,35,1
26.5,917,99.1,35,1
26.6,913,99.8,34,1
26.6,912,99.4,33,1
26.6,912,99.6,31,1
26.6,912,99.9,29,1
0,912,99.9,26,1
26.7,909,0,25,1
26.7,907,99.9,24,1
26.8,912,98.2,23,1
26.8,917,99.9,23,1
0,919,99.9,20,1
26.8,913,0,19,1
0,916,99.9,18,1
0,916,0,18,1
26.7,912,0,15,1
26.6,915,99.9,17,1
26.6,885,90.7,17,1
26.7,914,90,16,1
26.7,915,97.8,16,1
26.7,916,99.9,15,1
26.7,917,99.9,15,1
26.6,918,99.9,15,1
26.6,913,99.9,15,1
26.6,919,99.9,14,1
26.6,917,99.9,14,1
0,920,99.9,13,1
26.6,916,0,13,1
26.6,921,99.9,12,1
26.6,916,99.9,10,1
26.7,914,99.9,10,1
26.7,916,99.9,8,1
0,912,99.9,8,1
26.6,909,0,8,1
26.6,908,99.9,9,1
26.5,906,99.9,8,1
0,907,99.9,9,1
26.5,904,0,9,1
26.5,906,99.9,9,1
26.4,912,99.9,9,1
26.4,907,99.9,9,1
26.4,903,99.9,9,1
26.4,907,99.9,9,1
26.4,906,99.9,9,1
26.4,912,99.9,9,1
0,906,99.9,9,1
26.4,903,0,9,1
26.4,905,99.9,8,1
26.3,912,99.9,8,1
26.3,904,99.9,8,1
0,913,99.9,8,1
26.3,905,0,8,1
0,904,99.9,8,1
26.3,908,0,8,1
26.2,910,99.9,8,1
26.3,907,99.9,8,1
26.3,910,99.9,9,1
0,912,99.9,8,1
26.3,910,0,8,1
26.2,909,99.9,8,1
26.2,906,99.9,8,1
26.2,908,99.9,4,1
0,914,99.9,4,1
26.1,907,0,4,1
26.1,908,99.9,4,1
25.9,908,99.9,4,0
25.9,908,99.9,4,0
25.9,908,99.9,4,0
25.8,912,99.9,4,0
25.7,913,99.9,4,0
25.6,914,99.9,4,0
25.5,915,99.9,4,0
0,914,99.9,27,1
