598,2017-04-13,17:53:28,25.7
602,2017-04-13,18:53:28,25.4
606,2017-04-13,19:53:28,25.3
610,2017-04-13,20:53:28,25.4
614,2017-04-13,21:53:28,25.4
618,2017-04-13,22:53:28,25.6
622,2017-04-13,23:53:28,25.8
626,2017-04-13,0:53:28,25.9
630,2017-04-13,1:53:28,25.6
634,2017-04-13,2:53:28,26
638,2017-04-13,3:53:28,26.1
642,2017-04-13,4:53:28,26
646,2017-04-13,5:53:28,nan
650,2017-04-13,6:53:28,nan
654,2017-04-13,7:53:28,26.1
658,2017-04-13,8:53:28,26.2
662,2017-04-13,9:53:28,26.3
666,2017-04-13,10:53:28,26.3
670,2017-04-13,11:53:28,26.2
674,2017-04-13,12:53:28,26.2
678,2017-04-13,13:53:28,26.2
682,2017-04-13,14:53:28,26.2
686,2017-04-13,15:53:28,nan
690,2017-04-13,16:53:28,26.2
694,2017-04-13,17:53:28,26.1
698,2017-04-13,18:53:28,26.1
702,2017-04-13,19:53:28,26.1
706,2017-04-13,20:53:28,26.1
710,2017-04-13,21:53:28,26.1
714,2017-04-13,22:53:28,26.1
718,2017-04-13,23:53:28,26.1
722,2017-04-13,0:53:28,26.1
726,2017-04-13,1:53:28,26.1
730,2017-04-13,2:53:28,26.1
734,2017-04-13,3:53:28,26.1
738,2017-04-13,4:53:28,26.1
742,2017-04-13,5:53:28,26.1
746,2017-04-13,6:53:28,26.1
750,2017-04-13,7:53:28,26.1
754,2017-04-13,8:53:28,nan
758,2017-04-13,9:53:28,26.1
762,2017-04-13,10:53:28,26.1
766,2017-04-13,11:53:28,26.1
770,2017-04-13,12:53:28,26.1
774,2017-04-13,13:53:28,26.1
778,2017-04-13,14:53:28,26.1
782,2017-04-14,15:53:28,24
786,2017-04-14,16:53:28,24
790,2017-04-14,17:53:28,24.2
794,2017-04-14,18:53:28,25.7
798,2017-04-14,19:53:28,25.8
802,2017-04-14,20:53:28,25.9
806,2017-04-14,21:53:28,26.4
810,2017-04-14,22:53:28,26.5
814,2017-04-14,23:53:28,26.7
818,2017-04-14,0:53:28,26.7
822,2017-04-14,1:53:28,nan
826,2017-04-14,2:53:28,26.9
830,2017-04-14,3:53:28,27
834,2017-04-14,4:53:28,27.1
838,2017-04-14,5:53:28,27.1
842,2017-04-14,6:53:28,27.1
846,2017-04-14,7:53:28,26.7
850,2017-04-14,8:53:28,26.5
854,2017-04-14,9:53:28,26.4
858,2017-04-14,10:53:28,26.4
862,2017-04-14,11:53:28,nan
866,2017-04-14,12:53:28,26.4
870,2017-04-14,13:53:28,25.9
874,2017-04-14,14:53:28,26.3
878,2017-04-14,15:53:28,26.6
882,2017-04-14,16:53:28,26.7
886,2017-04-14,17:53:28,nan
890,2017-04-14,18:53:28,26.8
894,2017-04-14,19:53:28,26.9
898,2017-04-14,20:53:28,26.9
902,2017-04-14,21:53:28,27
906,2017-04-14,22:53:28,27
910,2017-04-14,23:53:28,26.9
914,2017-04-14,0:53:28,26.9
918,2017-04-14,1:53:28,27
922,2017-04-14,2:53:28,27
928,2017-04-15,3:53:28,26.8
932,2017-04-15,4:53:28,nan
936,2017-04-15,5:53:28,25.9
940,2017-04-15,6:53:28,25.5
944,2017-04-15,7:53:28,25.1
948,2017-04-15,8:53:28,25
952,2017-04-15,9:53:28,24.9
956,2017-04-15,10:53:28,24.8
960,2017-04-15,11:53:28,24.8
964,2017-04-15,12:53:28,nan
968,2017-04-15,13:53:28,25.6
972,2017-04-15,14:53:28,26
976,2017-04-15,15:53:28,26.4
980,2017-04-15,16:53:28,26.9
984,2017-04-15,17:53:28,26.7
988,2017-04-15,18:53:28,26.5
992,2017-04-15,19:53:28,26.5
996,2017-04-15,20:53:28,26.5
1000,2017-04-15,21:53:28,25.8
1004,2017-04-15,22:53:28,25.5
1008,2017-04-15,23:53:28,25.8
1012,2017-04-15,0:53:28,25.4
1016,2017-04-15,1:53:28,26
1020,2017-04-15,2:53:28,25.9
1024,2017-04-16,3:53:28,nan
1028,2017-04-16,4:53:28,nan
1032,2017-04-16,5:53:28,25.5
1036,2017-04-16,6:53:28,25.5
1040,2017-04-16,7:53:28,25.5
1044,2017-04-16,8:53:28,25.3
1048,2017-04-16,9:53:28,25.3
1052,2017-04-16,10:53:28,nan
1056,2017-04-16,11:53:28,nan
1060,2017-04-16,12:53:28,25
1064,2017-04-16,13:53:28,25
1068,2017-04-16,14:53:28,nan
1072,2017-04-16,15:53:28,24.6
1076,2017-04-16,16:53:28,24.5
1080,2017-04-16,17:53:28,26.2
1084,2017-04-16,18:53:28,26.6
1088,2017-04-16,19:53:28,26.7
1092,2017-04-16,20:53:28,27
1096,2017-04-16,21:53:28,27.3
1100,2017-04-16,22:53:28,27.5
1104,2017-04-16,23:53:28,27.4
1108,2017-04-16,0:53:28,27.4
1112,2017-04-16,1:53:28,27.4
1116,2017-04-16,2:53:28,27.4
